Weather,Road_Type,Time_of_Day,Traffic_Density,Speed_Limit,Number_of_Vehicles,Driver_Alcohol,Accident_Severity,Road_Condition,Vehicle_Type,Driver_Age,Driver_Experience,Road_Light_Condition,Accident
Clear,City Road,Afternoon,2.0,30.0,4.0,0.0,Low,Dry,Car,61.0,47.0,Daylight,1.0
Rainy,Rural Road,Morning,1.0,80.0,5.0,0.0,None,Wet,Car,74.0,57.0,Daylight,0.0
Rainy,Highway,Morning,1.0,100.0,4.0,0.0,None,Dry,Car,63.0,47.0,Daylight,0.0
Snowy,City Road,Night,2.0,50.0,4.0,1.0,None,Icy,Bus,74.0,51.0,Artificial Light,0.0
Foggy,Rural Road,Evening,1.0,50.0,4.0,0.0,None,Wet,Car,63.0,48.0,No Light,0.0
Rainy,City Road,Night,1.0,50.0,3.0,0.0,None,Under Construction,Truck,60.0,35.0,Artificial Light,0.0
Rainy,Highway,Evening,1.0,100.0,4.0,0.0,None,Wet,Car,33.0,10.0,Artificial Light,0.0
Snowy,Rural Road,Morning,1.0,50.0,3.0,0.0,Low,Icy,Truck,55.0,36.0,Daylight,1.0
Clear,Highway,Afternoon,2.0,120.0,8.0,0.0,Low,Dry,Car,46.0,28.0,Daylight,1.0
Rainy,Highway,Morning,2.0,80.0,7.0,1.0,Moderate,Wet,Motorcycle,37.0,19.0,Daylight,1.0
Clear,City Road,Evening,2.0,60.0,7.0,0.0,None,Dry,Car,57.0,32.0,Artificial Light,0.0
Stormy,City Road,Evening,1.0,50.0,4.0,0.0,None,Wet,Car,22.0,0.0,Daylight,0.0
Snowy,Rural Road,Morning,0.0,80.0,3.0,0.0,Moderate,Icy,Motorcycle,73.0,53.0,Daylight,1.0
Snowy,Mountain Road,Afternoon,1.0,50.0,3.0,1.0,Low,Icy,Motorcycle,59.0,43.0,Daylight,1.0
Clear,Rural Road,Afternoon,1.0,60.0,3.0,0.0,None,Dry,Car,34.0,20.0,Daylight,0.0
Clear,City Road,Morning,2.0,50.0,4.0,0.0,None,Dry,Car,70.0,53.0,Daylight,0.0
Clear,City Road,Morning,1.0,50.0,4.0,0.0,None,Dry,Car,35.0,18.0,Daylight,0.0
Stormy,City Road,Afternoon,1.0,30.0,2.0,0.0,Low,Wet,Car,42.0,19.0,Daylight,1.0
Clear,City Road,Evening,2.0,60.0,6.0,0.0,None,Dry,Car,70.0,49.0,Artificial Light,0.0
Clear,Highway,Evening,2.0,120.0,6.0,0.0,None,Dry,Car,51.0,25.0,Artificial Light,0.0
Clear,Rural Road,Afternoon,1.0,60.0,3.0,0.0,None,Dry,Car,57.0,42.0,Daylight,0.0
Rainy,City Road,Morning,1.0,50.0,3.0,0.0,None,Wet,Car,58.0,41.0,Daylight,0.0
Foggy,Rural Road,Night,1.0,80.0,3.0,0.0,None,Dry,Car,44.0,27.0,No Light,0.0
Clear,City Road,Evening,2.0,50.0,7.0,0.0,None,Dry,Car,74.0,58.0,Artificial Light,0.0
Snowy,Highway,Afternoon,1.0,100.0,4.0,1.0,None,Icy,Car,70.0,48.0,Daylight,0.0
Snowy,Highway,Night,1.0,80.0,3.0,0.0,None,Dry,Car,19.0,4.0,No Light,0.0
Clear,Highway,Night,0.0,100.0,2.0,0.0,Low,Wet,Car,37.0,19.0,No Light,1.0
Foggy,Highway,Afternoon,0.0,120.0,3.0,0.0,None,Wet,Motorcycle,69.0,43.0,Daylight,0.0
Snowy,City Road,Afternoon,1.0,50.0,2.0,0.0,None,Icy,Car,18.0,0.0,Daylight,0.0
Foggy,City Road,Evening,1.0,60.0,4.0,0.0,None,Dry,Car,20.0,0.0,Artificial Light,0.0
Stormy,Rural Road,Morning,1.0,80.0,2.0,0.0,None,Wet,Car,37.0,22.0,Daylight,0.0
Stormy,City Road,Morning,2.0,60.0,4.0,0.0,None,Wet,Bus,44.0,24.0,Daylight,0.0
Snowy,City Road,Evening,2.0,50.0,6.0,0.0,Low,Icy,Car,39.0,26.0,Artificial Light,1.0
Clear,Mountain Road,Morning,0.0,50.0,1.0,0.0,None,Dry,Car,55.0,42.0,Daylight,0.0
Foggy,Mountain Road,Morning,0.0,60.0,1.0,0.0,None,Dry,Truck,60.0,35.0,Daylight,0.0
Clear,City Road,Afternoon,1.0,50.0,2.0,0.0,None,Under Construction,Car,49.0,27.0,Daylight,0.0
Snowy,Rural Road,Night,0.0,80.0,2.0,0.0,None,Dry,Car,61.0,37.0,No Light,0.0
Clear,Rural Road,Evening,1.0,80.0,3.0,0.0,None,Dry,Car,69.0,58.0,No Light,0.0
Clear,Highway,Afternoon,2.0,100.0,5.0,0.0,None,Dry,Car,37.0,19.0,Daylight,0.0
Clear,City Road,Afternoon,1.0,50.0,3.0,0.0,None,Dry,Car,59.0,48.0,Daylight,0.0
Snowy,Highway,Evening,2.0,100.0,6.0,0.0,Low,Icy,Car,57.0,41.0,Artificial Light,1.0
Rainy,Rural Road,Evening,0.0,80.0,4.0,0.0,None,Wet,Car,51.0,37.0,No Light,0.0
Foggy,City Road,Evening,2.0,60.0,9.0,0.0,Low,Dry,Motorcycle,38.0,21.0,Daylight,1.0
Rainy,City Road,Night,2.0,30.0,4.0,1.0,Moderate,Dry,Car,36.0,27.0,Artificial Light,1.0
Clear,City Road,Evening,2.0,50.0,7.0,0.0,Low,Dry,Motorcycle,67.0,42.0,Daylight,1.0
Snowy,City Road,Afternoon,2.0,50.0,4.0,0.0,None,Wet,Car,68.0,52.0,Daylight,0.0
Rainy,Rural Road,Night,1.0,50.0,2.0,0.0,None,Wet,Car,20.0,0.0,No Light,0.0
Rainy,City Road,Evening,1.0,30.0,6.0,0.0,None,Wet,Car,39.0,22.0,Daylight,0.0
Stormy,City Road,Evening,2.0,30.0,6.0,0.0,Low,Wet,Car,25.0,4.0,Daylight,1.0
Rainy,Highway,Afternoon,1.0,80.0,4.0,0.0,None,Wet,Car,58.0,39.0,Daylight,0.0
Clear,Rural Road,Afternoon,1.0,80.0,4.0,0.0,None,Dry,Car,40.0,24.0,Daylight,0.0
Foggy,City Road,Evening,2.0,50.0,5.0,0.0,None,Dry,Car,50.0,32.0,Daylight,0.0
Rainy,Highway,Night,2.0,120.0,6.0,1.0,High,Dry,Car,38.0,20.0,Artificial Light,1.0
Clear,Rural Road,Afternoon,1.0,80.0,3.0,0.0,None,Under Construction,Car,74.0,53.0,Daylight,0.0
Snowy,Highway,Morning,1.0,120.0,3.0,0.0,Low,Wet,Car,53.0,33.0,Daylight,1.0
Stormy,City Road,Afternoon,2.0,50.0,5.0,0.0,None,Wet,Motorcycle,35.0,13.0,Daylight,0.0
Stormy,City Road,Morning,2.0,30.0,4.0,0.0,Low,Wet,Car,30.0,16.0,Daylight,1.0
Clear,City Road,Afternoon,1.0,50.0,2.0,0.0,None,Wet,Car,42.0,24.0,Daylight,0.0
Clear,City Road,Night,2.0,50.0,4.0,0.0,None,Dry,Car,43.0,34.0,Artificial Light,0.0
Clear,City Road,Afternoon,2.0,50.0,5.0,0.0,None,Dry,Car,72.0,48.0,Daylight,0.0
Rainy,Highway,Morning,2.0,100.0,5.0,0.0,Low,Wet,Car,32.0,10.0,Daylight,1.0
Rainy,City Road,Evening,2.0,50.0,5.0,0.0,Moderate,Wet,Bus,18.0,0.0,Artificial Light,1.0
Clear,Highway,Afternoon,1.0,80.0,3.0,0.0,None,Dry,Truck,57.0,41.0,Daylight,0.0
Rainy,City Road,Morning,2.0,50.0,5.0,0.0,None,Wet,Car,20.0,5.0,Daylight,0.0
Snowy,Highway,Evening,1.0,100.0,6.0,1.0,High,Icy,Motorcycle,32.0,9.0,Artificial Light,1.0
Clear,Highway,Morning,2.0,80.0,5.0,0.0,Low,Dry,Car,37.0,29.0,Daylight,1.0
Clear,City Road,Morning,2.0,60.0,5.0,0.0,Low,Wet,Car,18.0,0.0,Daylight,1.0
Clear,City Road,Evening,1.0,50.0,3.0,0.0,None,Dry,Car,59.0,43.0,Artificial Light,0.0
Clear,City Road,Afternoon,2.0,50.0,7.0,1.0,None,Dry,Bus,53.0,32.0,Daylight,0.0
Rainy,Highway,Night,1.0,120.0,5.0,0.0,None,Wet,Motorcycle,62.0,45.0,Artificial Light,0.0
Clear,Highway,Afternoon,2.0,120.0,5.0,0.0,Moderate,Dry,Motorcycle,44.0,25.0,Daylight,1.0
Clear,City Road,Afternoon,2.0,50.0,7.0,0.0,None,Dry,Car,46.0,26.0,Daylight,0.0
Clear,Rural Road,Evening,2.0,60.0,6.0,0.0,None,Dry,Car,29.0,7.0,Artificial Light,0.0
Snowy,Rural Road,Afternoon,0.0,60.0,1.0,0.0,None,Icy,Car,38.0,16.0,Daylight,0.0
Clear,Rural Road,Evening,2.0,50.0,7.0,0.0,Low,Dry,Bus,26.0,7.0,Artificial Light,1.0
Clear,Highway,Morning,2.0,100.0,6.0,0.0,Low,Dry,Car,23.0,8.0,Daylight,1.0
Rainy,City Road,Afternoon,1.0,50.0,2.0,0.0,None,Wet,Car,56.0,44.0,Daylight,0.0
Snowy,City Road,Afternoon,1.0,50.0,2.0,0.0,None,Icy,Car,59.0,44.0,Daylight,0.0
Clear,City Road,Morning,2.0,30.0,7.0,0.0,Moderate,Dry,Truck,66.0,43.0,Daylight,1.0
Clear,City Road,Evening,2.0,50.0,6.0,0.0,Low,Dry,Motorcycle,69.0,50.0,Artificial Light,1.0
Foggy,City Road,Morning,1.0,60.0,3.0,0.0,None,Dry,Car,69.0,53.0,Daylight,0.0
Rainy,Highway,Morning,1.0,80.0,3.0,0.0,None,Wet,Car,61.0,43.0,Daylight,0.0
Clear,Rural Road,Evening,0.0,80.0,2.0,0.0,None,Dry,Car,69.0,54.0,No Light,0.0
Clear,Highway,Afternoon,1.0,100.0,3.0,0.0,None,Under Construction,Car,44.0,29.0,Daylight,0.0
Stormy,Rural Road,Afternoon,0.0,50.0,3.0,0.0,None,Under Construction,Car,59.0,48.0,Daylight,0.0
Stormy,City Road,Evening,2.0,50.0,6.0,0.0,None,Wet,Truck,67.0,52.0,Artificial Light,0.0
Clear,City Road,Night,2.0,50.0,4.0,1.0,Low,Dry,Car,65.0,52.0,Artificial Light,1.0
Foggy,Rural Road,Afternoon,1.0,60.0,3.0,0.0,None,Wet,Car,75.0,51.0,Daylight,0.0
Rainy,City Road,Afternoon,2.0,50.0,4.0,0.0,Low,Wet,Car,42.0,28.0,Daylight,1.0
Stormy,Rural Road,Evening,0.0,60.0,2.0,0.0,None,Wet,Car,37.0,21.0,Artificial Light,0.0
Snowy,Highway,Morning,1.0,80.0,3.0,0.0,None,Wet,Car,25.0,17.0,Daylight,0.0
Rainy,City Road,Evening,2.0,50.0,5.0,0.0,None,Wet,Truck,53.0,30.0,Daylight,0.0
Clear,Highway,Afternoon,1.0,100.0,4.0,0.0,None,Dry,Car,43.0,29.0,Daylight,0.0
Clear,City Road,Evening,2.0,30.0,7.0,0.0,None,Dry,Car,21.0,0.0,Artificial Light,0.0
Clear,City Road,Morning,2.0,50.0,4.0,0.0,None,Dry,Car,69.0,55.0,Daylight,0.0
Clear,City Road,Night,2.0,60.0,5.0,0.0,None,Dry,Car,42.0,18.0,Artificial Light,0.0
Clear,Highway,Evening,2.0,100.0,8.0,0.0,None,Under Construction,Car,60.0,32.0,Daylight,0.0
Foggy,Highway,Morning,1.0,100.0,4.0,0.0,None,Wet,Truck,33.0,17.0,Daylight,0.0
Rainy,City Road,Morning,2.0,50.0,5.0,0.0,Low,Dry,Car,31.0,18.0,Daylight,1.0
Snowy,City Road,Evening,2.0,50.0,6.0,0.0,High,Icy,Car,73.0,55.0,Daylight,1.0
Clear,Mountain Road,Morning,0.0,50.0,1.0,0.0,None,Dry,Car,51.0,27.0,Daylight,0.0
Clear,City Road,Afternoon,1.0,50.0,2.0,0.0,None,Dry,Car,70.0,50.0,Daylight,0.0
Clear,City Road,Morning,2.0,60.0,4.0,0.0,None,Dry,Truck,47.0,39.0,Daylight,0.0
Clear,Highway,Afternoon,1.0,120.0,3.0,0.0,None,Wet,Car,73.0,57.0,Daylight,0.0
Foggy,Highway,Morning,2.0,80.0,6.0,0.0,None,Wet,Motorcycle,32.0,14.0,Daylight,0.0
Clear,Rural Road,Afternoon,0.0,60.0,1.0,0.0,None,Dry,Truck,72.0,58.0,Daylight,0.0
Rainy,Highway,Evening,2.0,100.0,8.0,0.0,High,Wet,Car,75.0,58.0,Daylight,1.0
Rainy,Highway,Evening,2.0,100.0,6.0,0.0,None,Dry,Car,60.0,38.0,Artificial Light,0.0
Foggy,City Road,Evening,2.0,60.0,7.0,0.0,None,Wet,Car,26.0,10.0,Daylight,0.0
Rainy,City Road,Evening,2.0,50.0,5.0,0.0,None,Wet,Car,53.0,38.0,Daylight,0.0
Stormy,Highway,Morning,1.0,120.0,4.0,0.0,None,Wet,Car,26.0,12.0,Daylight,0.0
Clear,Highway,Night,0.0,100.0,2.0,1.0,Low,Dry,Car,52.0,36.0,No Light,1.0
Clear,City Road,Evening,2.0,60.0,6.0,0.0,None,Dry,Motorcycle,49.0,30.0,Artificial Light,0.0
Rainy,City Road,Morning,2.0,50.0,7.0,0.0,None,Wet,Motorcycle,24.0,6.0,Daylight,0.0
Rainy,Rural Road,Morning,1.0,80.0,3.0,0.0,None,Dry,Bus,45.0,24.0,Daylight,0.0
Clear,Highway,Morning,1.0,120.0,3.0,0.0,None,Dry,Car,36.0,13.0,Daylight,0.0
Rainy,Rural Road,Night,1.0,80.0,2.0,1.0,Moderate,Wet,Truck,54.0,35.0,Artificial Light,1.0
Clear,Highway,Afternoon,1.0,80.0,4.0,1.0,Moderate,Wet,Motorcycle,69.0,58.0,Daylight,1.0
Clear,Mountain Road,Morning,0.0,50.0,3.0,0.0,None,Dry,Truck,27.0,7.0,Daylight,0.0
Snowy,Highway,Morning,1.0,120.0,3.0,0.0,Moderate,Wet,Truck,60.0,50.0,Daylight,1.0
Clear,Highway,Evening,2.0,100.0,8.0,0.0,None,Dry,Car,61.0,49.0,Artificial Light,0.0
Clear,City Road,Afternoon,2.0,50.0,8.0,0.0,None,Dry,Car,47.0,26.0,Daylight,0.0
Foggy,City Road,Afternoon,2.0,60.0,4.0,0.0,Low,Wet,Bus,50.0,32.0,Daylight,1.0
Stormy,City Road,Morning,1.0,50.0,3.0,0.0,None,Wet,Car,29.0,15.0,Daylight,0.0
Clear,Highway,Afternoon,1.0,100.0,6.0,0.0,None,Dry,Car,72.0,51.0,Daylight,0.0
Stormy,Highway,Night,1.0,120.0,3.0,1.0,None,Wet,Car,30.0,19.0,Artificial Light,0.0
Clear,Rural Road,Evening,0.0,80.0,2.0,0.0,None,Wet,Car,37.0,19.0,No Light,0.0
Clear,Rural Road,Evening,0.0,80.0,2.0,0.0,None,Dry,Car,45.0,25.0,No Light,0.0
Rainy,City Road,Night,2.0,30.0,6.0,0.0,None,Dry,Car,23.0,0.0,Artificial Light,0.0
Clear,Highway,Afternoon,2.0,120.0,7.0,0.0,None,Dry,Motorcycle,71.0,56.0,Daylight,0.0
Rainy,Highway,Evening,2.0,120.0,8.0,0.0,High,Dry,Car,71.0,54.0,Artificial Light,1.0
Stormy,City Road,Afternoon,2.0,50.0,7.0,1.0,None,Wet,Car,50.0,29.0,Daylight,0.0
Foggy,City Road,Night,0.0,50.0,1.0,0.0,None,Dry,Car,34.0,19.0,Artificial Light,0.0
Clear,City Road,Afternoon,1.0,50.0,2.0,0.0,None,Dry,Car,50.0,31.0,Daylight,0.0
Clear,City Road,Afternoon,2.0,60.0,4.0,1.0,None,Dry,Car,53.0,36.0,Daylight,0.0
Rainy,Highway,Afternoon,1.0,100.0,5.0,1.0,Moderate,Wet,Motorcycle,59.0,42.0,Daylight,1.0
Rainy,City Road,Morning,2.0,30.0,5.0,0.0,None,Dry,Car,41.0,23.0,Daylight,0.0
Clear,City Road,Evening,2.0,50.0,6.0,0.0,None,Dry,Car,45.0,27.0,Artificial Light,0.0
Rainy,Highway,Night,2.0,100.0,5.0,0.0,Moderate,Wet,Motorcycle,52.0,33.0,No Light,1.0
Snowy,City Road,Afternoon,1.0,50.0,2.0,0.0,None,Dry,Car,31.0,7.0,Daylight,0.0
Clear,Rural Road,Morning,2.0,60.0,5.0,0.0,None,Dry,Motorcycle,75.0,56.0,Daylight,0.0
Clear,City Road,Afternoon,2.0,50.0,6.0,0.0,None,Wet,Bus,75.0,58.0,Daylight,0.0
Rainy,City Road,Evening,1.0,30.0,3.0,0.0,None,Wet,Car,24.0,4.0,Artificial Light,0.0
Snowy,City Road,Afternoon,1.0,50.0,3.0,0.0,Low,Wet,Truck,36.0,17.0,Daylight,1.0
Rainy,Rural Road,Evening,0.0,50.0,2.0,0.0,None,Dry,Truck,60.0,52.0,No Light,0.0
Clear,Mountain Road,Morning,1.0,30.0,2.0,0.0,None,Dry,Car,46.0,28.0,Daylight,0.0
Clear,City Road,Night,1.0,30.0,3.0,0.0,None,Dry,Bus,56.0,38.0,Artificial Light,0.0
Rainy,Rural Road,Night,1.0,80.0,2.0,0.0,None,Dry,Car,67.0,44.0,Artificial Light,0.0
Clear,City Road,Morning,1.0,50.0,3.0,0.0,None,Dry,Car,71.0,58.0,Daylight,0.0
Rainy,City Road,Night,1.0,50.0,3.0,0.0,None,Wet,Car,62.0,54.0,Artificial Light,0.0
Rainy,City Road,Afternoon,0.0,50.0,2.0,0.0,None,Under Construction,Car,18.0,0.0,Daylight,0.0
Foggy,Highway,Morning,2.0,80.0,6.0,0.0,None,Dry,Car,57.0,32.0,Daylight,0.0
Clear,Mountain Road,Evening,0.0,30.0,4.0,0.0,None,Under Construction,Truck,44.0,31.0,Artificial Light,0.0
Rainy,City Road,Afternoon,1.0,50.0,2.0,0.0,None,Dry,Truck,31.0,12.0,Daylight,0.0
Clear,City Road,Evening,2.0,50.0,6.0,0.0,Low,Dry,Truck,26.0,4.0,Daylight,1.0
Rainy,Highway,Evening,1.0,80.0,4.0,0.0,Moderate,Wet,Truck,45.0,24.0,Artificial Light,1.0
Snowy,City Road,Evening,1.0,60.0,3.0,0.0,None,Icy,Motorcycle,62.0,48.0,Artificial Light,0.0
Clear,City Road,Night,1.0,50.0,2.0,0.0,None,Dry,Car,58.0,40.0,Artificial Light,0.0
Clear,City Road,Afternoon,2.0,30.0,7.0,0.0,Low,Dry,Car,20.0,0.0,Daylight,1.0
Clear,Highway,Night,2.0,80.0,5.0,0.0,Low,Dry,Car,60.0,37.0,Artificial Light,1.0
Clear,Rural Road,Morning,2.0,50.0,7.0,0.0,None,Dry,Car,60.0,41.0,Daylight,0.0
Snowy,Rural Road,Night,1.0,60.0,3.0,0.0,None,Icy,Bus,65.0,42.0,No Light,0.0
Clear,Rural Road,Afternoon,0.0,80.0,2.0,0.0,None,Dry,Car,58.0,35.0,Daylight,0.0
Rainy,City Road,Afternoon,2.0,60.0,4.0,0.0,Moderate,Wet,Car,59.0,43.0,Daylight,1.0
Foggy,Highway,Afternoon,1.0,100.0,3.0,0.0,Low,Wet,Truck,50.0,34.0,Daylight,1.0
Foggy,Highway,Afternoon,1.0,100.0,4.0,0.0,None,Dry,Car,38.0,30.0,Daylight,0.0
Clear,Highway,Afternoon,0.0,120.0,2.0,0.0,None,Dry,Car,47.0,35.0,Daylight,0.0
Clear,City Road,Afternoon,1.0,60.0,2.0,1.0,Low,Dry,Motorcycle,64.0,45.0,Daylight,1.0
Stormy,City Road,Morning,2.0,60.0,7.0,0.0,None,Wet,Car,64.0,47.0,Daylight,0.0
Clear,Rural Road,Afternoon,1.0,80.0,2.0,0.0,None,Dry,Car,72.0,58.0,Daylight,0.0
Stormy,Highway,Evening,2.0,80.0,6.0,0.0,Low,Wet,Truck,69.0,41.0,Artificial Light,1.0
Snowy,Highway,Morning,2.0,80.0,5.0,0.0,Moderate,Icy,Motorcycle,44.0,27.0,Daylight,1.0
Rainy,City Road,Morning,2.0,30.0,4.0,0.0,None,Wet,Car,60.0,36.0,Daylight,0.0
Stormy,Highway,Afternoon,1.0,80.0,3.0,0.0,Low,Wet,Car,42.0,24.0,Daylight,1.0
Clear,City Road,Afternoon,1.0,50.0,2.0,0.0,None,Dry,Car,62.0,50.0,Daylight,0.0
Clear,Highway,Afternoon,1.0,100.0,3.0,0.0,Low,Dry,Motorcycle,57.0,30.0,Daylight,1.0
Clear,Rural Road,Morning,2.0,60.0,5.0,0.0,Low,Dry,Car,33.0,14.0,Daylight,1.0
Clear,City Road,Night,1.0,50.0,3.0,1.0,None,Dry,Car,59.0,43.0,Artificial Light,0.0
Rainy,City Road,Evening,2.0,50.0,7.0,0.0,Low,Wet,Car,60.0,39.0,Daylight,1.0
Clear,Highway,Night,0.0,120.0,5.0,0.0,None,Dry,Car,41.0,23.0,Artificial Light,0.0
Clear,Highway,Morning,2.0,100.0,5.0,0.0,Low,Wet,Car,21.0,2.0,Daylight,1.0
Rainy,City Road,Afternoon,2.0,50.0,5.0,0.0,None,Wet,Truck,61.0,44.0,Daylight,0.0
Clear,City Road,Afternoon,1.0,60.0,5.0,0.0,None,Wet,Motorcycle,53.0,32.0,Daylight,0.0
Snowy,Rural Road,Evening,2.0,80.0,7.0,0.0,None,Wet,Motorcycle,18.0,0.0,No Light,0.0
Rainy,Rural Road,Evening,1.0,60.0,3.0,0.0,Low,Wet,Truck,58.0,40.0,Artificial Light,1.0
Clear,City Road,Evening,1.0,60.0,4.0,0.0,Low,Dry,Car,26.0,11.0,Artificial Light,1.0
Stormy,Highway,Evening,1.0,120.0,4.0,0.0,None,Wet,Motorcycle,43.0,23.0,Artificial Light,0.0
Clear,Highway,Night,0.0,80.0,4.0,0.0,None,Dry,Car,31.0,16.0,No Light,0.0
Rainy,Highway,Night,1.0,120.0,8.0,0.0,None,Wet,Car,28.0,15.0,Artificial Light,0.0
Snowy,Highway,Night,0.0,80.0,2.0,1.0,Moderate,Icy,Truck,46.0,27.0,Artificial Light,1.0
Clear,Highway,Afternoon,1.0,120.0,3.0,0.0,None,Dry,Car,41.0,21.0,Daylight,0.0
Clear,City Road,Evening,1.0,30.0,4.0,0.0,None,Dry,Car,54.0,37.0,Artificial Light,0.0
Rainy,Highway,Morning,2.0,120.0,6.0,0.0,Low,Dry,Bus,44.0,28.0,Daylight,1.0
Stormy,Highway,Evening,2.0,100.0,8.0,0.0,None,Wet,Truck,33.0,8.0,Artificial Light,0.0
Foggy,Rural Road,Morning,2.0,80.0,5.0,0.0,None,Wet,Motorcycle,66.0,51.0,Daylight,0.0
Clear,Highway,Morning,2.0,100.0,7.0,0.0,Low,Wet,Car,61.0,42.0,Daylight,1.0
Stormy,City Road,Night,1.0,60.0,3.0,0.0,Moderate,Wet,Car,19.0,5.0,No Light,1.0
Snowy,Highway,Afternoon,0.0,120.0,4.0,0.0,None,Dry,Car,39.0,26.0,Daylight,0.0
Rainy,City Road,Afternoon,2.0,50.0,4.0,1.0,Moderate,Wet,Car,34.0,25.0,Daylight,1.0
Stormy,City Road,Morning,2.0,50.0,4.0,0.0,Low,Wet,Truck,26.0,2.0,Daylight,1.0
Stormy,Highway,Morning,1.0,80.0,7.0,0.0,None,Wet,Car,67.0,53.0,Daylight,0.0
Clear,City Road,Afternoon,2.0,50.0,4.0,0.0,None,Dry,Car,54.0,35.0,Daylight,0.0
Foggy,Rural Road,Night,0.0,50.0,2.0,0.0,Low,Wet,Car,67.0,54.0,No Light,1.0
Stormy,Rural Road,Night,0.0,80.0,2.0,0.0,Moderate,Under Construction,Truck,46.0,25.0,No Light,1.0
Foggy,Mountain Road,Evening,0.0,50.0,4.0,0.0,None,Under Construction,Motorcycle,51.0,30.0,Artificial Light,0.0
Clear,Highway,Afternoon,2.0,80.0,6.0,0.0,None,Dry,Car,51.0,35.0,Daylight,0.0
Stormy,Highway,Afternoon,2.0,120.0,5.0,0.0,Low,Wet,Car,45.0,18.0,Daylight,1.0
Rainy,Highway,Afternoon,1.0,100.0,4.0,0.0,None,Dry,Car,70.0,49.0,Daylight,0.0
Rainy,City Road,Afternoon,1.0,50.0,3.0,0.0,None,Under Construction,Bus,30.0,14.0,Daylight,0.0
Clear,Rural Road,Morning,0.0,60.0,2.0,0.0,None,Dry,Car,23.0,1.0,Daylight,0.0
Foggy,Rural Road,Afternoon,0.0,60.0,3.0,0.0,None,Wet,Car,40.0,19.0,Daylight,0.0
Snowy,City Road,Afternoon,2.0,50.0,4.0,0.0,None,Dry,Motorcycle,27.0,11.0,Daylight,0.0
Clear,Rural Road,Night,1.0,80.0,2.0,0.0,None,Dry,Car,45.0,26.0,Artificial Light,0.0
Rainy,Rural Road,Afternoon,1.0,60.0,4.0,0.0,None,Wet,Truck,20.0,0.0,Daylight,0.0
Foggy,Highway,Afternoon,1.0,100.0,3.0,0.0,None,Wet,Car,70.0,50.0,Daylight,0.0
Clear,Rural Road,Afternoon,0.0,60.0,2.0,0.0,None,Wet,Truck,63.0,43.0,Daylight,0.0
Rainy,City Road,Night,2.0,30.0,6.0,0.0,None,Wet,Car,26.0,8.0,Artificial Light,0.0
Rainy,Highway,Night,1.0,100.0,4.0,0.0,None,Wet,Car,31.0,14.0,Artificial Light,0.0
Stormy,Mountain Road,Morning,0.0,60.0,1.0,0.0,Low,Wet,Truck,72.0,51.0,Daylight,1.0
Rainy,City Road,Evening,2.0,60.0,5.0,0.0,None,Wet,Motorcycle,35.0,23.0,Artificial Light,0.0
Foggy,City Road,Evening,2.0,50.0,6.0,0.0,None,Dry,Truck,49.0,27.0,Daylight,0.0
Clear,City Road,Afternoon,1.0,30.0,3.0,0.0,None,Dry,Car,59.0,44.0,Daylight,0.0
Clear,City Road,Evening,2.0,50.0,8.0,0.0,None,Dry,Truck,67.0,52.0,Daylight,0.0
Snowy,Mountain Road,Afternoon,0.0,60.0,2.0,0.0,None,Icy,Car,32.0,11.0,Daylight,0.0
Stormy,Rural Road,Evening,1.0,80.0,3.0,0.0,None,Wet,Car,74.0,53.0,No Light,0.0
Clear,City Road,Morning,2.0,50.0,5.0,0.0,None,Dry,Car,45.0,28.0,Daylight,0.0
Clear,City Road,Morning,2.0,50.0,6.0,0.0,None,Dry,Car,75.0,47.0,Daylight,0.0
Clear,City Road,Evening,1.0,30.0,5.0,0.0,Low,Wet,Car,23.0,5.0,Artificial Light,1.0
Stormy,City Road,Evening,2.0,50.0,5.0,0.0,None,Icy,Bus,39.0,16.0,Daylight,0.0
Stormy,City Road,Morning,2.0,50.0,5.0,0.0,None,Icy,Car,66.0,56.0,Daylight,0.0
Snowy,Highway,Evening,1.0,80.0,4.0,0.0,Low,Wet,Car,70.0,49.0,Artificial Light,1.0
Rainy,Highway,Morning,1.0,80.0,5.0,0.0,High,Wet,Car,57.0,35.0,Daylight,1.0
Rainy,Highway,Afternoon,1.0,100.0,3.0,0.0,None,Wet,Car,20.0,0.0,Daylight,0.0
Rainy,City Road,Morning,1.0,30.0,2.0,0.0,None,Wet,Truck,59.0,41.0,Daylight,0.0
Stormy,City Road,Morning,2.0,50.0,6.0,1.0,Moderate,Wet,Car,20.0,0.0,Daylight,1.0
Foggy,Highway,Evening,1.0,100.0,4.0,0.0,None,Wet,Car,45.0,25.0,Artificial Light,0.0
Foggy,City Road,Afternoon,2.0,50.0,6.0,0.0,None,Wet,Car,31.0,11.0,Daylight,0.0
Stormy,Highway,Night,1.0,80.0,3.0,0.0,Moderate,Wet,Motorcycle,57.0,51.0,No Light,1.0
Clear,City Road,Afternoon,2.0,30.0,6.0,0.0,None,Dry,Car,46.0,31.0,Daylight,0.0
Rainy,City Road,Afternoon,0.0,30.0,2.0,0.0,None,Wet,Car,33.0,11.0,Daylight,0.0
Rainy,City Road,Afternoon,1.0,60.0,2.0,0.0,Low,Wet,Car,38.0,20.0,Daylight,1.0
Snowy,Rural Road,Morning,0.0,50.0,3.0,0.0,None,Wet,Truck,56.0,41.0,Daylight,0.0
